Designation;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;f0
6026-2RSR;130;200;33;113000;101000;4850;1750;���;15.8
6026-2Z;130;200;33;113000;101000;4850;3800;4350;15.8
6226;130;230;40;177000;146000;7500;3850;3900;14.5
6226-2Z;130;230;40;177000;146000;7500;3250;3900;14.5
6326;130;280;58;244000;214000;9800;3200;3500;13.5
61828-Y;140;175;18;41500;46000;1860;6700;3350;16
6028;140;210;33;117000;109000;5000;4250;4050;16
16028;140;210;22;86000;87000;3700;4400;3200;16.5
6028-2RSR;140;210;33;117000;109000;5000;1650;���;16
6028-2Z;140;210;33;117000;109000;5000;3600;4050;16
6228;140;250;42;188000;165000;8100;3600;3600;14.9
6328-M;140;300;62;270000;246000;11100;3850;3250;13.6
61830;150;190;20;54000;60000;2420;4700;3200;16.1
6030;150;225;35;131000;124000;5400;3950;3850;16
16030;150;225;24;98000;99000;4250;4050;3100;16.5
6030-2RSR;150;225;35;131000;124000;5400;1540;���;16
6030-2Z;150;225;35;131000;124000;5400;3350;3850;16
6230;150;270;45;187000;168000;7800;3350;3350;15.2
6330;150;320;65;300000;290000;13100;2800;3000;13.7
61832;160;200;20;55000;62000;2430;4450;3000;16.1
61932;160;220;28;98000;99000;4250;4050;3450;16.5
6032;160;240;38;142000;136000;5800;3700;3750;16
16032;160;240;25;109000;114000;4600;3800;2950;16.5
6032-2RSR;160;240;38;142000;136000;5800;1440;���;16
6032-2Z;160;240;38;142000;136000;5800;3150;3750;16
6232-M;160;290;48;212000;203000;8900;4050;3100;15.2
61834;170;215;22;65000;73000;2850;4100;2950;16.1
61934;170;230;28;109000;114000;4600;3800;3150;16.4
6034;170;260;42;179000;172000;7400;3400;3550;15.7
16034;170;260;28;131000;136000;5400;3500;2850;16.5
6034-2RSR;170;260;42;179000;172000;7400;1340;���;15.7
6234-M;170;310;52;225000;224000;9400;3800;2950;15.3
61836;180;225;22;66000;76000;2850;3900;2750;16.1
61936;180;250;33;131000;136000;5400;3500;3200;16.4
16036;180;280;31;140000;146000;5200;3350;2950;16.4
6036-M;180;280;46;201000;199000;8200;4050;3300;15.6
6236-M;180;320;52;240000;244000;10300;3650;2750;15.3
61838;190;240;24;73000;85000;3300;3650;2700;16.1
61938;190;260;33;140000;146000;5200;3350;3000;16.4
16038;190;290;31;158000;168000;6300;3100;2650;16.5
6038-M;190;290;46;216000;220000;9100;3850;3100;15.6
61840;200;250;24;74000;88000;3350;3500;2550;15.9
61940;200;280;38;158000;168000;6300;3100;2950;16.4
16040;200;310;34;186000;202000;7300;2850;2470;16.4
6040-M;200;310;51;231000;243000;9600;3650;3000;15.6
61844;220;270;24;78000;97000;3550;3200;2320;15.9
61944;220;300;38;186000;202000;6900;2850;2600;16.4
61848;240;300;28;100000;124000;4350;2900;2260;15.9
61948;240;320;38;211000;240000;8400;2600;2330;16.4
61852;260;320;28;102000;132000;4550;2700;2070;15.9
